date,title,category,page
2025-07-22,"Último día para que profesores suban notas finales Segundo ciclo, periodo 2025‐B2",B2,1
2025-07-29,"Primera etapa inscripción de asignaturas semestrales Primer Ciclo, periodo 2025‐S2",S2,1
2025-04-23,Periodo de aplicación de encuestas evaluación de asignaturas bimestrales y profesores periodo 2025‐B1,B1,1
2025-04-23,Presentación Ingeniería en Diseño / Presentación Licenciaturas Ingeniería Comercial,,1
2025-04-30,"Periodo de Evaluaciones Finales Cursos Bimestrales Periodo 2025‐B1 Segundo Ciclo(Ingeniería Comercial, Ingeniería en Diseño y Psicología)",B1,1
2025-05-07,SUSPENSION DE CLASES PARA ESTUDIANTES 1ER y 2DO CICLONIVELACIONES ACADÉMICAS,,1
2025-05-21,FERIADO LEGAL,,1
2025-06-18,Periodo de aplicación de encuestas evaluación de asignaturas semestrales y profesores periodo 2025‐S1,S1,1
2025-06-18,Último día para solicitar anular estudios programas bimestrales periodo 2025‐B2 o presentar solicitudes de renuncia,B2,1
2025-06-25,Periodo de aplicación de encuestas evaluación de asignaturas semestrales y profesores periodo 2025‐S1,S1,1
2025-07-02,"PERIODO DE EXÁMENES FINALES ASIGNATURAS SEMESTRALES PERIODO 2025‐S1, PRIMER Y SEGUNDO CICLO",S1,1
2025-07-02,Periodo de aplicación de encuestas evaluación de asignaturas bimestrales y profesores periodo 2025‐B2,B2,1
2025-07-02,Publicación resultados postulaciones a Intercambios primer semestre 2026,,1
2025-07-09,"PERIODO DE EXÁMENES FINALES ASIGNATURAS SEMESTRALES PERIODO 2025‐S1, PRIMER Y SEGUNDO CICLO",S1,1
2025-07-09,"Periodo de Evaluaciones Finales Cursos Bimestrales Periodo 2025‐B2 Segundo Ciclo(Ingeniería Comercial, Ingeniería en Diseño y Psicología)",B2,1
2025-07-16,FERIADO LEGAL,,1
2025-07-23,Última fecha para que los profesores suban a OMEGA syllabus de asignaturas periodo 2025‐S2/B3/B4,"B3,B4,S2",1
2025-07-30,"Periodo de Inscripción de Asignaturas Segundo Ciclo 2025‐S2/B3/B4 (Ingeniería Civil, Ingeniería Comercial, Ingeniería en Diseño, Psicología)","B3,B4,S2",1
2025-04-24,Periodo de aplicación de encuestas evaluación de asignaturas bimestrales y profesores periodo 2025‐B1,B1,1
2025-04-24,Presentación Ingeniería en Diseño / Presentación Licenciaturas Ingeniería Comercial,,1
2025-05-01,FERIADO LEGAL,,1
2025-05-08,SUSPENSION DE CLASES PARA ESTUDIANTES 1ER y 2DO CICLONIVELACIONES ACADÉMICAS,,1
2025-05-22,Elección carrera Ingeniería en Diseño,,1
2025-05-22,Elección de Licenciatura Ingeniería Comercial,,1
2025-06-19,Periodo de aplicación de encuestas evaluación de asignaturas semestrales y profesores periodo 2025‐S1,S1,1
2025-06-19,Último día para presentar solicitudes de cambio de sede o cambio de carrera para el periodo 2025‐S2,S2,1
2025-06-26,Periodo de aplicación de encuestas evaluación de asignaturas semestrales y profesores periodo 2025‐S1,S1,1
2025-07-03,"PERIODO DE EXÁMENES FINALES ASIGNATURAS SEMESTRALES PERIODO 2025‐S1, PRIMER Y SEGUNDO CICLO",S1,1
2025-07-03,Periodo de aplicación de encuestas evaluación de asignaturas bimestrales y profesores periodo 2025‐B2,B2,1
2025-07-03,Publicación resultados postulaciones a Intercambios primer semestre 2026,,1
2025-07-10,"PERIODO DE EXÁMENES FINALES ASIGNATURAS SEMESTRALES PERIODO 2025‐S1, PRIMER Y SEGUNDO CICLO",S1,1
2025-07-10,"Periodo de Evaluaciones Finales Cursos Bimestrales Periodo 2025‐B2 Segundo Ciclo(Ingeniería Comercial, Ingeniería en Diseño y Psicología)",B2,1
2025-07-17,Último día para que los profesores suban notas finales de asignaturas semestrales periodo 2025‐S1 a OMEGA,S1,1
2025-07-24,Inscripción de asignaturas estudiantes intercambio periodo 2025‐S2,S2,1
2025-07-31,Welcome Day Estudiantes Intercambio Sede Santiago,,1
2025-07-31,"Periodo de Inscripción de Asignaturas Segundo Ciclo 2025‐S2/B3/B4 (Ingeniería Civil, Ingeniería Comercial, Ingeniería en Diseño, Psicología)","B3,B4,S2",1
2025-04-25,Periodo de aplicación de encuestas evaluación de asignaturas bimestrales y profesores periodo 2025‐B1,B1,1
2025-04-25,Presentación Ingeniería en Diseño / Presentación Licenciaturas Ingeniería Comercial,,1
2025-05-02,"Periodo de Evaluaciones Finales Cursos Bimestrales Periodo 2025‐B1 Segundo Ciclo, (Ingeniería Comercial, Ingeniería en Diseño y Psicología)",B1,1
2025-05-02,Inicio Periodo Postulación a Intercambios primer semestre 2026,,1
2025-05-09,SUSPENSION DE CLASES PARA ESTUDIANTES 1ER y 2DO CICLONIVELACIONES ACADÉMICAS,,1
2025-05-16,"Último día para que profesores suban notas finales Segundo ciclo, periodo 2025‐B1",B1,1
2025-05-16,Inicio del Período Desinscripción de Asignaturas Semestrales 2025‐S1,S1,1
2025-05-23,Elección carrera Ingeniería en Diseño,,1
2025-05-23,Elección de Licenciatura Ingeniería Comercial,,1
2025-06-13,Término periodo de desinscripción de asignaturas semestrales 2025‐S1 (primer y segundo ciclo),S1,1
2025-06-13,Último día para solicitar anular estudios periodo 2025‐S1 o presentar solicitudes de renuncia,S1,1
2025-06-20,Periodo de aplicación de encuestas evaluación de asignaturas semestrales y profesores periodo 2025‐S1,S1,1
2025-06-20,FERIADO LEGAL,,1
2025-06-27,Inicio periodo de exámenes Derecho,,1
2025-07-04,"PERIODO DE EXÁMENES FINALES ASIGNATURAS SEMESTRALES PERIODO 2025‐S1, PRIMER Y SEGUNDO CICLO",S1,1
2025-07-04,Periodo de aplicación de encuestas evaluación de asignaturas bimestrales y profesores periodo 2025‐B2,B2,1
2025-07-04,Publicación resultados postulaciones a Intercambios primer semestre 2026,,1
2025-07-11,"PERIODO DE EXÁMENES FINALES ASIGNATURAS SEMESTRALES PERIODO 2025‐S1, PRIMER Y SEGUNDO CICLO",S1,1
2025-07-11,"Periodo de Evaluaciones Finales Cursos Bimestrales Periodo 2025‐B2 Segundo Ciclo(Ingeniería Comercial, Ingeniería en Diseño y Psicología)",B2,1
2025-07-18,"Último día para publicar horarios de asignaturas semestrales periodo 2025‐S2, programas primer y segundo ciclo",S2,1
2025-07-25,Último día para postular a la Admisión Especial del segundo semestre del año 2025,,1
2025-07-25,"Publicación de resultados de solicitudes de cambio de Sede, de carrera o licenciatura periodo 2025‐S2",S2,1
2025-08-01,Welcome Day Intercambio Sede Viña del Mar,,1
2025-08-01,Publicación Resultados Admisión Especial periodo 2025‐S2,S2,1
2025-08-01,"Segunda etapa Inscripción de asignaturas semestrales Primer ciclo, periodo 2025‐S2",S2,1
2025-04-26,Término de Clases Cursos bimestrales periodo 2025‐B1,B1,1
2025-05-03,"Periodo de Evaluaciones Finales Cursos Bimestrales Periodo 2025‐B1 Segundo Ciclo, (Ingeniería Comercial, Ingeniería en Diseño y Psicología)",B1,1
2025-05-10,SUSPENSION DE CLASES PARA ESTUDIANTES 1ER y 2DO CICLONIVELACIONES ACADÉMICAS,,1
2025-06-14,Término periodo postulación a Intercambios primer semestre 2026,,1
2025-06-14,Término periodo de postulación a programas cortos internacionales invierno 2025,,1
2025-06-21,Periodo de aplicación de encuestas evaluación de asignaturas semestrales y profesores periodo 2025‐S1,S1,1
2025-06-21,Término de Clases de Asignaturas de Derecho periodo 2025‐S1,S1,1
2025-06-28,Término de Clases Periodo 2025‐S1,S1,1
2025-07-05,"PERIODO DE EXÁMENES FINALES ASIGNATURAS SEMESTRALES PERIODO 2025‐S1, PRIMER Y SEGUNDO CICLO",S1,1
2025-07-05,Término de Clases Cursos bimestrales periodo 2025‐B2,B2,1
2025-07-12,"PERIODO DE EXÁMENES FINALES ASIGNATURAS SEMESTRALES PERIODO 2025‐S1, PRIMER Y SEGUNDO CICLO",S1,1
2025-07-12,"Periodo de Evaluaciones Finales Cursos Bimestrales Periodo 2025‐B2 Segundo Ciclo(Ingeniería Comercial, Ingeniería en Diseño y Psicología)",B2,1
2025-07-26,Publicación del ICA y Grupo de Inscripción de Cursos periodo 2025‐S2/B3/B4 (primer ciclo y segundo ciclo),"B3,B4,S2",1
2025-08-02,Período de Selección de Ayudantes periodo 2025‐S2/B3/B4,"B3,B4,S2",1
2025-08-04,Inicio de Clases Segundo Semestre y Tercer Bimestre 2025 para Primer y Segundo Ciclo,,2
2025-09-01,Evaluación Docente Temprana Asignaturas Semestrales periodo 2025‐S2 (primer y segundo ciclo),S2,2
2025-09-01,MASTER FORUM Sede Santiago y Viña del Mar,,2
2025-09-01,Presentación carreras Ingeniería Civil,,2
2025-09-15,SUSPENSION DE CLASES PARAESTUDIANTES PRIMER Y SEGUNDO CICLO,,2
2025-09-22,No hay evaluaciones académicas primer y segundo ciclo,,2
2025-09-29,Elección de carrera Ingeniería Civil,,2
2025-10-06,"Periodo de Evaluaciones Finales Cursos Bimestrales Periodo 2025‐B3 Segundo Ciclo(Ingeniería Comercial, Ingeniería en Diseño y Psicología)",B3,2
2025-10-13,"Inicio de Clases Segundo Ciclo, período 2025‐B4",B4,2
2025-10-13,Graduaciones Licenciatura 2025 ‐ Sede Santiago,,2
2025-10-20,Semana de la Investigación e Innovación UAI,,2
2025-10-20,Graduaciones Licenciatura 2025 ‐ Sede Santiago,,2
2025-11-17,Periodo de aplicación de encuestas evaluación de asignaturas semestrales y profesores periodo 2025‐S2 (primer y segundo ciclo),S2,2
2025-11-24,"Periodo de aplicación de encuestas evaluación de asignaturas semestrales y profesores, período 2025‐S2 (primer y segundo ciclo)",S2,2
2025-09-02,Evaluación Docente Temprana Asignaturas Semestrales periodo 2025‐S2 (primer y segundo ciclo),S2,2
